,date,type,location,fatalities,ground_fatalities,crew,passengers,operator,first_flight,damage,phase,nature,manufacturer,year,month,day,aircraft_age
4392,1966-06-20,Curtiss C-46E,Canada,2,0,2.0,0.0,Nordair,1945-01-01,Damaged beyond repair,En route (ENR),Cargo,Curtiss,1966,June,Monday,7840
4394,1966-06-27,Douglas DC-3-208,United States of America,2,0,2.0,10.0,Aeronaut Air Services,1937-01-01,Damaged beyond repair,En route (ENR),Domestic Non Scheduled Passenger,Douglas,1966,June,Monday,10769
4395,1966-06-29,Douglas C-47A (DC-3),Philippines,26,0,4.0,24.0,Philippine Air Lines,1944-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,Douglas,1966,June,Wednesday,8215
4396,1966-07-04,Douglas DC-8-52,New Zealand,2,0,5.0,0.0,Air New Zealand,1965-01-01,Damaged beyond repair,Takeoff (TOF),Training,Douglas,1966,July,Monday,549
4398,1966-07-04,Lockheed P-3A Orion,United States of America,4,0,4.0,0.0,US Navy,1965-01-01,Damaged beyond repair,En route (ENR),Military,Lockheed,1966,July,Monday,549
4400,1966-07-11,Curtiss C-46D,Chile,8,0,3.0,5.0,Aeropesca Colombia,1945-01-01,Damaged beyond repair,En route (ENR),Cargo,Curtiss,1966,July,Monday,7861
4403,1966-07-23,Douglas DC-3-362,Pacific Ocean,3,0,3.0,0.0,Thai Government,1940-01-01,Missing,En route (ENR),Ferry/positioning,Douglas,1966,July,Saturday,9700
4406,1966-07-29,Douglas RC-47D,Vietnam,8,0,8.0,0.0,USAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1966,July,Friday,8245
4407,1966-08-03,Curtiss C-46D,Bolivia,3,0,3.0,0.0,LAB,1945-01-01,Damaged beyond repair,En route (ENR),Cargo,Curtiss,1966,August,Wednesday,7884
4408,1966-08-06,BAC One-Eleven 203AE,United States of America,42,0,4.0,38.0,Braniff Airways,1965-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,BAC,1966,August,Saturday,582
4410,1966-08-13,Douglas DC-8-51,Mexico,6,0,6.0,0.0,Aeronaves de M�xico,1962-01-01,Damaged beyond repair,Approach (APR),Training,Douglas,1966,August,Saturday,1685
4411,1966-08-17,Curtiss C-46F,Argentina,1,0,4.0,12.0,Aerov�as Halc�n,1945-01-01,Damaged beyond repair,Landing (LDG),Domestic Non Scheduled Passenger,Curtiss,1966,August,Wednesday,7898
4412,1966-08-26,Convair CV-880,Japan,5,0,5.0,0.0,"JAL, lsf Japan Domestic Airlines",1961-01-01,Destroyed,Takeoff (TOF),Training,Convair,1966,August,Friday,2063
4415,1966-09-01,Bristol 175 Britannia 102,Slovenia,98,0,7.0,110.0,Britannia Airways,1954-01-01,Destroyed,Approach (APR),Int'l Non Scheduled Passenger,Bristol,1966,September,Thursday,4626
4417,1966-09-04,SE-210 Caravelle VI-N,India,4,0,4.0,0.0,Indian Airlines,1964-01-01,Damaged beyond repair,Approach (APR),Training,SE-210,1966,September,Sunday,977
4418,1966-09-04,CV-2B Caribou (DHC-4),Vietnam,0,4,3.0,0.0,US Army,1965-01-01,Damaged beyond repair,Takeoff (TOF),Military,CV-2B,1966,September,Sunday,611
4419,1966-09-06,Lockheed C-130E Hercules,Taiwan,8,0,5.0,3.0,USAF,1964-01-01,Damaged beyond repair,En route (ENR),Military,Lockheed,1966,September,Tuesday,979
4421,1966-09-07,Antonov An-2,Tajikistan,6,0,2.0,4.0,"Aeroflot, Tajikistan",1961-01-01,Damaged beyond repair,En route (ENR),Survey/research,Antonov,1966,September,Wednesday,2075
4422,1966-09-09,Antonov An-2TP,Georgia,1,0,2.0,10.0,"Aeroflot, Georgia",1966-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Antonov,1966,September,Friday,251
4424,1966-09-14,Lockheed PV-2 Harpoon,Mexico,8,0,2.0,6.0,Unknown,1945-01-01,Damaged beyond repair,Approach (APR),Private,Lockheed,1966,September,Wednesday,7926
4425,1966-09-16,Douglas C-47A (DC-3),Spain,1,0,3.0,24.0,"Spantax, op.for Iberia",1944-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Douglas,1966,September,Friday,8294
4426,1966-09-22,Douglas DC-4-1009,Colombia,2,0,2.0,0.0,Avianca,1946-01-01,Damaged beyond repair,Initial climb (ICL),Cargo,Douglas,1966,September,Thursday,7569
4427,1966-09-22,Vickers 832 Viscount,Australia,24,0,4.0,20.0,Ansett-ANA,1959-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,Vickers,1966,September,Thursday,2821
4431,1966-10-01,Douglas DC-9-14,United States of America,18,0,5.0,13.0,West Coast Airlines,1966-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,Douglas,1966,October,Saturday,273
4432,1966-10-02,Lockheed C-130E Hercules,Vietnam,5,0,5.0,0.0,USAF,1963-01-01,Damaged beyond repair,En route (ENR),Military,Lockheed,1966,October,Sunday,1370
4433,1966-10-04,CV-2B Caribou (DHC-4),Vietnam,14,0,4.0,28.0,US Army,1964-01-01,Damaged beyond repair,Approach (APR),Military,CV-2B,1966,October,Tuesday,1007
4434,1966-10-12,Lockheed C-130E Hercules,United States of America,5,0,6.0,0.0,USAF,1964-01-01,Damaged beyond repair,En route (ENR),Military,Lockheed,1966,October,Wednesday,1015
4435,1966-10-13,Lockheed 18 Lodestar,United States of America,2,0,1.0,4.0,BBR Drilling,1943-01-01,Damaged beyond repair,Initial climb (ICL),Private,Lockheed,1966,October,Thursday,8686
4438,1966-10-28,C-7A Caribou (DHC-4),Vietnam,1,0,3.0,0.0,US Army,1962-01-01,Damaged beyond repair,Unknown (UNK),Military,C-7A,1966,October,Friday,1761
4439,1966-11-05,Ilyushin Il-14M,France,7,0,7.0,0.0,Air Mali,1957-01-01,Damaged beyond repair,En route (ENR),Ferry/positioning,Ilyushin,1966,November,Saturday,3595
4440,1966-11-09,BN-2A Islander,Netherlands,2,0,1.0,1.0,Britten-Norman,1965-01-01,Damaged beyond repair,En route (ENR),Ferry/positioning,BN-2A,1966,November,Wednesday,677
4441,1966-11-11,Lockheed EC-121H Super Constellatio,Atlantic Ocean,19,0,19.0,0.0,USAF,1956-01-01,Damaged beyond repair,En route (ENR),Military,Lockheed,1966,November,Friday,3967
4442,1966-11-13,NAMC YS-11-111,Japan,50,0,5.0,45.0,All Nippon,1966-01-01,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,NAMC,1966,November,Sunday,316
4443,1966-11-15,Boeing 727-21,Germany,3,0,3.0,0.0,Pan Am,1966-01-01,Damaged beyond repair,Approach (APR),Cargo,Boeing,1966,November,Tuesday,318
4445,1966-11-22,Douglas R4D-1 (DC-3),Yemen,30,0,3.0,27.0,Aden Airways,1942-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Douglas,1966,November,Tuesday,9091
4446,1966-11-22,Ilyushin Il-18B,Kazakhstan,3,0,8.0,60.0,"Aeroflot, Kazakstan",1958-01-01,Damaged beyond repair,Takeoff (TOF),Domestic Scheduled Passenger,Ilyushin,1966,November,Tuesday,3247
4447,1966-11-22,DH-125-1A/522,Bahamas,1,0,1.0,1.0,Kellogg,1966-01-01,Damaged beyond repair,Approach (APR),Illegal Flight,DH-125-1A/522,1966,November,Tuesday,325
4448,1966-11-24,Ilyushin Il-18V,Slovakia,82,0,8.0,74.0,TABSO,1964-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,Ilyushin,1966,November,Thursday,1058
4453,1966-12-18,Lockheed L-1649A Starliner,Colombia,17,0,7.0,52.0,Aerocondor de Colombia,1957-01-01,Damaged beyond repair,Approach (APR),Int'l Non Scheduled Passenger,Lockheed,1966,December,Sunday,3638
4454,1966-12-18,Antonov An-2R,Tajikistan,2,0,2.0,0.0,"Aeroflot, Tajikistan",1966-01-01,Damaged beyond repair,Maneuvering (MNV),Illegal Flight,Antonov,1966,December,Sunday,351
4455,1966-12-20,Lockheed 18 Lodestar,Mexico,10,0,2.0,8.0,Executive Aviation,1943-01-01,Missing,En route (ENR),Demonstration,Lockheed,1966,December,Tuesday,8754
4456,1966-12-24,Canadair CL-44D4-1,Vietnam,4,107,4.0,0.0,"Seaboard World, op.for Flying Tiger Line",1962-01-01,Destroyed,Approach (APR),Cargo,Canadair,1966,December,Saturday,1818
4457,1966-12-24,Douglas C-47A (DC-3),Colombia,29,0,3.0,26.0,Avianca,1944-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Douglas,1966,December,Saturday,8393
4459,1967-01-06,Curtiss C-46F,United States of America,3,0,3.0,0.0,Channel Air Lift,1945-01-01,Damaged beyond repair,Landing (LDG),Cargo,Curtiss,1967,January,Friday,8040
4460,1967-01-08,Douglas AC-47D,Vietnam,7,0,7.0,0.0,USAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1967,January,Sunday,8408
4462,1967-01-11,Chase YC-122C Avitruc,Atlantic Ocean,4,0,4.0,0.0,Bush Aviation,1953-01-01,Damaged beyond repair,En route (ENR),Cargo,Chase,1967,January,Wednesday,5123
4463,1967-01-12,DHC-4A Caribou,Malaysia,1,0,9.0,0.0,Royal Malaysian AF,1966-01-01,Damaged beyond repair,Unknown (UNK),Military,DHC-4A,1967,January,Thursday,376
4464,1967-01-14,Antonov An-12B,Russia,6,0,6.0,0.0,"Aeroflot, Polar",1959-01-01,Destroyed,Initial climb (ICL),Cargo,Antonov,1967,January,Saturday,2935
4466,1967-01-19,Boeing KC-135A,United States of America,9,0,9.0,0.0,USAF,1958-01-01,Destroyed,En route (ENR),Military,Boeing,1967,January,Thursday,3305
4467,1967-01-21,Douglas C-54A (DC-4),Germany,2,0,2.0,0.0,Air Ferry,1944-01-01,Damaged beyond repair,Approach (APR),Cargo,Douglas,1967,January,Saturday,8421
4468,1967-01-31,Douglas DC-6A,United States of America,3,0,3.0,0.0,Saturn Airways,1958-01-01,Damaged beyond repair,Approach (APR),Cargo,Douglas,1967,January,Tuesday,3317
4470,1967-02-06,Douglas C-47B (DC-3),Syria,8,0,3.0,13.0,Syrian Arab Airlines,1945-01-01,Damaged beyond repair,Landing (LDG),Domestic Scheduled Passenger,Douglas,1967,February,Monday,8071
4473,1967-02-10,Convair CV-440-11,Switzerland,4,0,4.0,0.0,Swissair,1956-01-01,Damaged beyond repair,En route (ENR),Training,Convair,1967,February,Friday,4058
4474,1967-02-16,Lockheed L-188C Electra,Indonesia,22,0,8.0,84.0,Garuda,1960-01-01,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,Lockheed,1967,February,Thursday,2603
4475,1967-02-20,Douglas DC-6,Honduras,4,0,5.0,50.0,SAHSA,1947-01-01,Damaged beyond repair,Landing (LDG),Domestic Scheduled Passenger,Douglas,1967,February,Monday,7355
4476,1967-02-21,Douglas C-47B (DC-3),Sudan,1,0,2.0,0.0,Sudan Airways,1944-01-01,Damaged beyond repair,Approach (APR),Training,Douglas,1967,February,Tuesday,8452
4477,1967-02-28,Fokker F-27 Friendship 100,Philippines,12,0,4.0,15.0,Philippine Air Lines,1960-01-01,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,Fokker,1967,February,Tuesday,2615
4479,1967-03-05,Convair CV-580,United States of America,38,0,3.0,35.0,Lake Central Airlines,1952-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Convair,1967,March,Sunday,5542
4480,1967-03-05,Douglas DC-8-33,Liberia,51,5,19.0,71.0,Varig,1959-01-01,Damaged beyond repair,Approach (APR),International Scheduled Passenger,Douglas,1967,March,Sunday,2985
4482,1967-03-06,Antonov An-12B,Russia,5,0,6.0,0.0,"Aeroflot, Polar",1966-01-01,Destroyed,Takeoff (TOF),Ferry/positioning,Antonov,1967,March,Monday,429
4483,1967-03-08,ATL-98 Carvair,Pakistan,4,7,6.0,0.0,CAT,1944-01-01,Damaged beyond repair,Initial climb (ICL),Cargo,ATL-98,1967,March,Wednesday,8467
4484,1967-03-09,Douglas DC-9-15,United States of America,25,0,4.0,21.0,TWA,1967-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Douglas,1967,March,Thursday,67
4485,1967-03-09,Douglas RC-47P,Vietnam,7,0,7.0,0.0,USAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1967,March,Thursday,8468
4486,1967-03-10,Fairchild F-27,United States of America,4,0,3.0,1.0,West Coast Airlines,1960-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Fairchild,1967,March,Friday,2625
4487,1967-03-10,Douglas VC-47J (DC-3),Vietnam,25,0,4.0,21.0,US Navy,1945-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1967,March,Friday,8103
4488,1967-03-11,DHC-6 Twin Otter 100,Italy,4,0,2.0,3.0,Aeralpi,1967-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,DHC-6,1967,March,Saturday,69
4489,1967-03-12,Ilyushin Il-14P,Russia,15,0,4.0,16.0,"Aeroflot, Yakutsk",1956-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Ilyushin,1967,March,Sunday,4088
4490,1967-03-13,Vickers 818 Viscount,South Africa,25,0,5.0,20.0,South African Airways,1958-01-01,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,Vickers,1967,March,Monday,3358
4494,1967-03-28,Douglas AC-47D,Vietnam,7,0,7.0,0.0,USAF,1945-01-01,Damaged beyond repair,Maneuvering (MNV),Military,Douglas,1967,March,Tuesday,8121
4495,1967-03-30,Douglas DC-8-51,United States of America,6,13,6.0,0.0,Delta Air Lines,1959-01-01,Damaged beyond repair,Approach (APR),Training,Douglas,1967,March,Thursday,3010
4496,1967-04-02,Lockheed 18 Lodestar,Peru,5,0,3.0,2.0,Trans Caribbean Enterprises,1944-01-01,Damaged beyond repair,Unknown (UNK),Unknown,Lockheed,1967,April,Sunday,8492
4497,1967-04-06,Ilyushin Il-18V,Russia,8,0,8.0,0.0,"Aeroflot, 235 Aviation Det.",1964-01-01,Damaged beyond repair,Initial climb (ICL),Ferry/positioning,Ilyushin,1967,April,Thursday,1191
4499,1967-04-11,Douglas DC-4,Algeria,35,0,6.0,33.0,Air Alg�rie,1943-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Douglas,1967,April,Tuesday,8866
4500,1967-04-11,Lockheed 18 Lodestar,United States of America,2,0,2.0,0.0,private,1943-01-01,Damaged beyond repair,En route (ENR),Ferry/positioning,Lockheed,1967,April,Tuesday,8866
4502,1967-04-16,Lockheed C-130B Hercules,Vietnam,3,0,6.0,0.0,USAF,1959-01-01,Damaged beyond repair,Takeoff (TOF),Military,Lockheed,1967,April,Sunday,3027
4504,1967-04-20,Bristol 175 Britannia 313,Cyprus,126,0,10.0,120.0,Globe Air,1957-01-01,Destroyed,Approach (APR),Int'l Non Scheduled Passenger,Bristol,1967,April,Thursday,3761
4506,1967-04-26,Douglas AC-47D,Vietnam,7,0,7.0,0.0,USAF,1944-01-01,Damaged beyond repair,Maneuvering (MNV),Military,Douglas,1967,April,Wednesday,8516
4507,1967-04-26,Douglas C-47 (DC-3),Colombia,17,0,3.0,15.0,Avianca,1942-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,Douglas,1967,April,Wednesday,9246
4508,1967-04-27,Fokker F-27 Friendship 400,Philippines,19,0,3.0,18.0,Fokker,1966-01-01,Damaged beyond repair,Initial climb (ICL),Demonstration,Fokker,1967,April,Thursday,481
4510,1967-04-28,Lockheed P-3A Orion,Japan,12,0,12.0,0.0,US Navy,1964-01-01,Damaged beyond repair,En route (ENR),Military,Lockheed,1967,April,Friday,1213
4511,1967-05-03,Douglas C-47B (DC-3),Iceland,3,0,3.0,0.0,Flugsyn,1945-01-01,Damaged beyond repair,En route (ENR),Cargo,Douglas,1967,May,Wednesday,8157
4512,1967-05-03,Vickers 812 Viscount,United Kingdom,0,2,3.0,0.0,Channel Airways,1958-01-01,Damaged beyond repair,Takeoff (TOF),Test,Vickers,1967,May,Wednesday,3409
4513,1967-05-11,Antonov An-2,Russia,12,0,2.0,10.0,"Aeroflot, Kazakstan",1955-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Antonov,1967,May,Thursday,4513
4515,1967-05-15,Curtiss C-46T,Canada,4,0,2.0,2.0,Nordair,1944-01-01,Damaged beyond repair,Approach (APR),Domestic Non Scheduled Passenger,Curtiss,1967,May,Monday,8535
4516,1967-05-17,Douglas C-47B (DC-3),Mexico,7,0,3.0,4.0,Pemex,1944-01-01,Damaged beyond repair,En route (ENR),Executive,Douglas,1967,May,Wednesday,8537
4517,1967-05-19,Douglas DC-8-54F,Canada,3,0,3.0,0.0,Air Canada,1963-01-01,Damaged beyond repair,Approach (APR),Training,Douglas,1967,May,Friday,1599
4518,1967-05-27,Grumman G-73 Mallard,United States of America,1,0,2.0,2.0,Catalina-Vegas Airlines,1947-01-01,Damaged beyond repair,Initial climb (ICL),Training,Grumman,1967,May,Saturday,7451
4519,1967-06-03,Douglas C-54A (DC-4),France,88,0,5.0,83.0,Air Ferry,1944-01-01,Destroyed,En route (ENR),Int'l Non Scheduled Passenger,Douglas,1967,June,Saturday,8554
4520,1967-06-04,Canadair C-4 Argonaut,United Kingdom,72,0,5.0,79.0,BMA,1949-01-01,Destroyed,Approach (APR),Int'l Non Scheduled Passenger,Canadair,1967,June,Sunday,6728
4521,1967-06-09,Lockheed C-130B Hercules,Vietnam,10,0,6.0,4.0,USAF,1959-01-01,Damaged beyond repair,En route (ENR),Military,Lockheed,1967,June,Friday,3081
4522,1967-06-11,Antonov An-2R,Russia,2,0,3.0,0.0,"Aeroflot, East Siberia",1961-01-01,Damaged beyond repair,Maneuvering (MNV),Agricultural,Antonov,1967,June,Sunday,2352
4524,1967-06-12,Douglas DC-3A-197D,Mexico,3,2,4.0,24.0,Aeronaves de M�xico,1940-01-01,Damaged beyond repair,Initial climb (ICL),Domestic Scheduled Passenger,Douglas,1967,June,Monday,10024
4527,1967-06-17,Lockheed C-130B Hercules,Vietnam,35,0,7.0,49.0,USAF,1960-01-01,Destroyed,Takeoff (TOF),Military,Lockheed,1967,June,Saturday,2724
4528,1967-06-17,Lisunov Li-2,Kazakhstan,9,0,3.0,31.0,"Aeroflot, Kazakstan",1951-01-01,Damaged beyond repair,Takeoff (TOF),Domestic Scheduled Passenger,Lisunov,1967,June,Saturday,6011
4529,1967-06-22,Lockheed L-1049H Super Constellatio,Vietnam,7,0,4.0,3.0,Airlift Int.,1958-01-01,Destroyed,Approach (APR),Cargo,Lockheed,1967,June,Thursday,3459
4530,1967-06-22,Vickers 803 Viscount,Ireland,3,0,3.0,0.0,Aer Lingus,1957-01-01,Damaged beyond repair,Maneuvering (MNV),Training,Vickers,1967,June,Thursday,3824
4531,1967-06-23,BAC One-Eleven 204AF,United States of America,34,0,4.0,30.0,Mohawk Airlines,1966-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,BAC,1967,June,Friday,538
4534,1967-06-30,SE-210 Caravelle III,Hong Kong,24,0,7.0,73.0,Thai Airways International,1960-01-01,Damaged beyond repair,Approach (APR),International Scheduled Passenger,SE-210,1967,June,Friday,2737
4535,1967-07-06,Fokker F-27 Friendship 100,Philippines,21,0,4.0,17.0,Philippine Air Lines,1965-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Fokker,1967,July,Thursday,916
4536,1967-07-11,Grumman G-159 Gulfstream I,United States of America,2,0,2.0,0.0,Honeywell,1964-01-01,Damaged beyond repair,En route (ENR),Training,Grumman,1967,July,Tuesday,1287
4537,1967-07-17,Boeing KC-135R,United States of America,1,0,5.0,0.0,USAF,1960-01-01,Damaged beyond repair,Takeoff (TOF),Military,Boeing,1967,July,Monday,2754
4538,1967-07-19,Boeing 727-22,United States of America,79,0,5.0,74.0,Piedmont Airlines,1963-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,Boeing,1967,July,Wednesday,1660
4539,1967-07-19,Douglas DC-4-1009,Madagascar,42,0,4.0,73.0,Air Madagascar,1946-01-01,Destroyed,Initial climb (ICL),Domestic Scheduled Passenger,Douglas,1967,July,Wednesday,7869
4541,1967-07-25,Douglas DC-3C,Laos,16,0,3.0,13.0,"China Airlines, op.for V�ha-Akat",1944-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Douglas,1967,July,Tuesday,8606
4546,1967-08-29,Antonov An-2,Russia,6,0,2.0,11.0,"Aeroflot, Komi",1963-01-01,Damaged beyond repair,Initial climb (ICL),Domestic Scheduled Passenger,Antonov,1967,August,Tuesday,1701
4548,1967-09-01,Curtiss C-46D,Panama,9,0,9.0,0.0,USAF,1944-01-01,Damaged beyond repair,Takeoff (TOF),Military,Curtiss,1967,September,Friday,8644
4550,1967-09-05,Ilyushin Il-18D,Canada,37,0,8.0,61.0,CSA,1967-01-01,Destroyed,Initial climb (ICL),International Scheduled Passenger,Ilyushin,1967,September,Tuesday,247
4552,1967-10-02,Douglas AC-47D,Vietnam,7,0,7.0,0.0,USAF,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1967,October,Monday,8675
4554,1967-10-07,Fokker F-27 Friendship 200,Nigeria,8,0,4.0,4.0,Biafran AF,1962-01-01,Damaged beyond repair,En route (ENR),Military,Fokker,1967,October,Saturday,2105
4555,1967-10-08,Lockheed C-130B Hercules,Vietnam,23,0,5.0,18.0,USAF,1962-01-01,Damaged beyond repair,En route (ENR),Military,Lockheed,1967,October,Sunday,2106
4556,1967-10-12,DH-106 Comet 4,Mediterranean Sea,66,0,7.0,59.0,"BEA, opf Cyprus Airways",1961-01-01,Destroyed,En route (ENR),International Scheduled Passenger,DH-106,1967,October,Thursday,2475
4557,1967-10-12,Lockheed C-130A Hercules,Vietnam,0,1,4.0,0.0,USAF,1958-01-01,Damaged beyond repair,Takeoff (TOF),Military,Lockheed,1967,October,Thursday,3571
4558,1967-10-12,Lisunov Li-2,Russia,5,0,4.0,1.0,"Aeroflot, Yakutsk",1948-01-01,Damaged beyond repair,Initial climb (ICL),Cargo,Lisunov,1967,October,Thursday,7224
4559,1967-10-15,Lockheed C-130E Hercules,Vietnam,5,0,6.0,0.0,USAF,1965-01-01,Damaged beyond repair,Approach (APR),Military,Lockheed,1967,October,Sunday,1017
4560,1967-10-24,Curtiss C-46D,Vietnam,16,0,3.0,13.0,China Airlines,1945-01-01,Damaged beyond repair,Unknown (UNK),Domestic Non Scheduled Passenger,Curtiss,1967,October,Tuesday,8331
4561,1967-11-03,Handley Page HPR-7 Herald 214,Brazil,21,0,5.0,20.0,Sadia,1965-01-01,Damaged beyond repair,En route (ENR),Domestic Scheduled Passenger,Handley,1967,November,Friday,1036
4562,1967-11-04,SE-210 Caravelle 10R,United Kingdom,37,0,7.0,30.0,Iberia,1966-01-01,Destroyed,En route (ENR),International Scheduled Passenger,SE-210,1967,November,Saturday,672
4563,1967-11-05,Convair CV-880,Hong Kong,1,0,11.0,116.0,Cathay Pacific,1963-01-01,Damaged beyond repair,Takeoff (TOF),International Scheduled Passenger,Convair,1967,November,Sunday,1769
4564,1967-11-05,Avro Shackleton MR.2,Indian Ocean,8,0,10.0,1.0,RAF,1953-01-01,Damaged beyond repair,En route (ENR),Military,Avro,1967,November,Sunday,5421
4565,1967-11-06,Boeing 707-131,United States of America,1,0,7.0,29.0,TWA,1959-01-01,Damaged beyond repair,Takeoff (TOF),Domestic Scheduled Passenger,Boeing,1967,November,Monday,3231
4569,1967-11-16,Ilyushin Il-18V,Russia,107,0,8.0,99.0,"Aeroflot, International",1964-01-01,Destroyed,Initial climb (ICL),Domestic Scheduled Passenger,Ilyushin,1967,November,Thursday,1415
4570,1967-11-19,Avro Shackleton MR.3,Atlantic Ocean,9,0,10.0,1.0,RAF,1957-01-01,Damaged beyond repair,En route (ENR),Military,Avro,1967,November,Sunday,3974
4571,1967-11-20,Convair CV-880,United States of America,70,0,7.0,75.0,TWA,1960-01-01,Destroyed,Approach (APR),Domestic Scheduled Passenger,Convair,1967,November,Monday,2880
4573,1967-11-29,Learjet 23,United States of America,3,0,2.0,1.0,Jet International,1965-01-01,Destroyed,Approach (APR),Executive,Learjet,1967,November,Wednesday,1062
4574,1967-11-30,C-7B Caribou (DHC-4),Vietnam,26,0,4.0,22.0,USAF,1963-01-01,Damaged beyond repair,Approach (APR),Military,C-7B,1967,November,Thursday,1794
4576,1967-12-08,Douglas C-54A (DC-4),Peru,72,0,6.0,66.0,Faucett,1944-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,Douglas,1967,December,Friday,8742
4577,1967-12-15,Blackburn Beverley C.1,Malaysia,6,0,6.0,0.0,RAF,1957-01-01,Damaged beyond repair,En route (ENR),Military,Blackburn,1967,December,Friday,4000
4578,1967-12-21,Douglas C-47A (DC-3),United States of America,2,0,2.0,0.0,Frontier Airlines,1943-01-01,Damaged beyond repair,Takeoff (TOF),Domestic Scheduled Passenger,Douglas,1967,December,Thursday,9120
4579,1967-12-21,Avro Shackleton MR.3,United Kingdom,13,0,13.0,0.0,RAF,1958-01-01,Damaged beyond repair,En route (ENR),Military,Avro,1967,December,Thursday,3641
4580,1967-12-23,Hawker Siddeley HS-125-3B,United Kingdom,2,0,2.0,0.0,Autair,1967-01-01,Destroyed,Takeoff (TOF),Training,Hawker,1967,December,Saturday,356
4581,1967-12-25,Douglas C-47A (DC-3),Thailand,4,0,3.0,28.0,Thai Airways,1943-01-01,Damaged beyond repair,Approach (APR),Domestic Scheduled Passenger,Douglas,1967,December,Monday,9124
4582,1967-12-29,Lockheed C-130E-I Hercules,Vietnam,11,0,11.0,0.0,USAF,1965-01-01,Damaged beyond repair,En route (ENR),Military,Lockheed,1967,December,Friday,1092
4583,1967-12-30,Antonov An-24B,Latvia,43,0,5.0,46.0,"Aeroflot, Latvia",1966-01-01,Destroyed,Approach (APR),Domestic Scheduled Passenger,Antonov,1967,December,Saturday,728
4584,1968-01-04,Morane Saulnier MS.760 Paris I,France,2,0,2.0,0.0,French Navy,1960-01-01,Damaged beyond repair,Initial climb (ICL),Military,Morane,1968,January,Thursday,2925
4585,1968-01-06,Antonov An-24B,Russia,45,0,6.0,39.0,"Aeroflot, Yakutsk",1966-01-01,Destroyed,En route (ENR),Domestic Scheduled Passenger,Antonov,1968,January,Saturday,735
4587,1968-01-10,Douglas R5D-2 (DC-4),United States of America,19,0,7.0,12.0,US Navy,1944-01-01,Damaged beyond repair,En route (ENR),Military,Douglas,1968,January,Wednesday,8775
4590,1968-01-16,Lockheed P-3A Orion,Japan,12,0,12.0,0.0,US Navy,1964-01-01,Damaged beyond repair,En route (ENR),Military,Lockheed,1968,January,Tuesday,1476
4591,1968-01-17,Boeing KC-135A,United States of America,13,0,7.0,6.0,USAF,1959-01-01,Destroyed,Takeoff (TOF),Military,Boeing,1968,January,Wednesday,3303
4592,1968-01-27,DH-114 Heron 1B,Comoros,15,0,1.0,15.0,Air Comores,1954-01-01,Damaged beyond repair,Landing (LDG),International Scheduled Passenger,DH-114,1968,January,Saturday,5139
4594,1968-02-06,Lockheed P-3B Orion,Pacific Ocean,12,0,12.0,0.0,US Navy,1967-01-01,Damaged beyond repair,En route (ENR),Military,Lockheed,1968,February,Tuesday,401
4595,1968-02-07,Boeing 707-138B,Canada,1,1,9.0,52.0,"Canadian Pacific, lsf Standard Airways",1959-01-01,Damaged beyond repair,Landing (LDG),International Scheduled Passenger,Boeing,1968,February,Wednesday,3324
4598,1968-02-10,Lockheed KC-130F Hercules,Vietnam,8,0,6.0,5.0,USMC,1962-01-01,Destroyed,Landing (LDG),Military,Lockheed,1968,February,Saturday,2231
4599,1968-02-14,Douglas AC-47D,Vietnam,8,0,8.0,0.0,USAF,1945-01-01,Damaged beyond repair,Unknown (UNK),Military,Douglas,1968,February,Wednesday,8444
